language,sentences
fr,"sus.Les chasseurs survinrent, réclamant "
fr,"der en cestermes: Dis-moi un peu, bouffo"
es,"ra el enemigo común,que es el Turco; el "
es,"soy, compadre y amigo Sancho Panza, y lu"
fr,"oint, encore moins ma propre chair.O cœu"
es,ndo se me antojare. Digo esto porque sep
es,"riado, y los más quedaban enamorados y p"
fr,tion: Il roula entre les jambes de Rossi
es,alirdel lugar; pero todo lo atribuyeron 
fr, tout ce que j'ai pu découvrir à ce suje
fr,t peut-être de la truitelle comme du vea
es,e volváis a hacer prueba de vuestra leal
fr,venaientl'assaillir et le harceler: les 
fr,"e, un nouveau Lycurgue, un moderne Solon"
fr," un habit de femme, quelques bagues et d"
fr,té contre la violence d'un homme queje s
en,"red to its proper function, and a desire"
fr,aite si belle qu'on ne saurait me voir s
fr,"e pleine de fumée; puis, quand nousvoulû"
en,ld betolerated in the future. He quoted 
fr,ous savons faire.Le duc et la duchesse é
es,legando al paso   que es puerto en este 
fr,ouspreniez tant de peine.L'avis fut appr
fr,"ichotte, ceux que je place ont leurà-pro"
fr,                     614  FIN DE LA TABL
fr,avagances; car ondirait qu'ils ont été c
en,he started out looking for DonQuixote--t
es,"gado dél, con la boca y lospechos en el "
fr," ne lui ai-je pasdéclaré, à cette même p"
es,"entes, y si le hallásemos, seríaen bajo "
es,"iendo en esta casa tantosmaestros, tanto"
es,"ar el pan a la boca, no abrió la suya, y"
es," tiempo, hijo de mis entrañas, no que es"
es,que sucedió a un famosopoeta destos tiem
fr,"s cesse occupé du bien de ses sujets, et"
fr,"ci, qu'on ad'autant meilleure opinion de"
fr," le vaillant Rodriguede Narvaez, gouvern"
fr, Fais en sorte de persuader à Camilleque
en,"lrous words of Don Quixote, and thesummo"
es,no hay en elmundo quien se acuerde dello
fr," hardi, patient,infatigable; enfin prêt "
fr,"tendrez: car, vous autres hommes, vous ê"
en," been trampling over me to-night.""Here t"
fr," s'arrêter, il l'aurait tué sur la place"
fr,"vous font une mine siétrange, qu'il n'y "
es,"e-. Por el sol quenos alumbra, que estoy"
fr,"rée.Holà, dit le duc, qui êtes-vous? à q"
fr,ut donc sur le barbier bride abattue et 
fr,"eux chevalierdon Quichotte de la Manche,"
en,rMoorish costumes and had heard the capt
es,"retos hieroglí-   estampes en el escu-, "
es," cabeza y, sin responder palabra, desató"
es,nel de la misericordia. Cuando te sucedi
fr,l'autrebergère; regarde ce seigneur! eh 
es,rced viera que seengañaba en lo que dice
fr,enait la conversation interrompue par Gi
fr,peine à croire quecette tête fût douée d
fr,c'estde m'apprendre où je pourrai passer
fr,"vallée, où nousmenons paître deux grands"
es,"odas cosas, es menester que esta buena d"
fr,vez maintenant sur le métier et quivous 
es,"ede estar seguro que, deaquí adelante, n"
es,terminarse si le tendría y pondríapor to
es,ó con elcabestro de su asno ambos pies a
fr,s de s'endivertir: ce qui étonnait le pl
fr," avait de fort divertissants entretiens,"
fr,"Pierre, ce n'est pas à moi qu'on vend un"
es,"or esposo.El duque, que esto oyó, estuvo"
es," obra de dosvaras dentro del río, comenz"
es,"on de serviros; tanto, que teníadetermin"
fr," vinrent réveiller don Quichotte, en lui"
fr,"iseul.Je revins sur la terrasse, et rega"
es,allería para dejar de pagar lo uno y loo
es,r hacer otro viaje. Todo se hizocon much
fr,rojette une si grande ombre doit être le
en,", through the book that the whole of Spa"
es,"caras,que te arrojaras de una alta torre"
es,"solo, que anda por aquí silbando, tiene "
es,"un gentil espaldazaro, siempre murmurand"
fr,"partager notre logement, dit-elle en mon"
es,a en la desesperada red de los celos; ma
es,i lo hacía por no tener confianza que el
fr,"t ainsi, répondit Lorenzo, cette science"
es,"réis perder, procurad que no os venga en"
fr,"eprit notre héros, et jevoudrais être as"
fr,"rent don Quichotte à cheval,languissamme"
es,"rasalgún cabrón?-No, señor -respondió Sa"
en,ave its shape changed. His nextconcern w
en,master's exaltedbehavior kept every one 
es,"eran de poco ánimo, viendo hablar de aqu"
fr," De l'aventure, Sancho resta moulu, donQ"
es, seréis muy bien recebido; porque elvalo
es,? ¿Podré señalar este día con piedra bla
es," más nada aprovechó con Anselmo; antes,i"
es,"on Quijote de la Mancha, que un tiempo s"
es,"as perlas, en cuyo suave licorbañándose "
es,"ran sino a cuatro maravedíscada uno, en "
fr,"s, ilcourut à lui les bras ouverts, et l"
es,a hora y el punto enque la fortuna se le
es,"n Bautista, se le pondría en mitad de la"
es,"enel pan de balde; y así, quedaré rogand"
es,an lejos de serlo como lo está el cielo 
es,"cielo, y a Lotario, por cuyo medio tanto"
en,den a short distance at hischarger's usu
fr,dansun temps serein on voit voltiger les
fr,phie naturelle l'emporte sur tous les ra
fr,"u'elle eûtdépassé la quarantaine, mais f"
fr,rt ce que vos vêtements nouscachaient: p
es,"n ellos a Sevilla, por serlugar tan acom"
es,"añía de un ermitaño, y allí se hartó de "
es,o XXXI. De los sabrosos razonamientos qu
fr,s de s'écrier que jepourrais monter en c
es,"esnudez pudiera fatigarnos a veces, y au"
fr,"e de ce matin, et je vais donner des ord"
es,rma y desmayada. Los mozos de a pie llev
es,"dán, oRotolando, o Orlando, que con todo"
es,"acía de barbero, que a su cuenta era el "
es,e con todo aquello que a él le fue posib
fr,rmés chevaliers.Voilà ce qui se passait 
fr,ent sur l'Espagne pendantplus d'un siècl
fr,plus que de raison. Don Quichottes'appro
en,"to the curate, who seemed to think it mi"
fr,"eurer, comme si l'on eût porté safille e"
fr,"nt à notre frère cadet, il habite le Pér"
es,"entos, le fue forzoso apearse y arrendar"
fr,urner                                   
es," baja si éramos nizarani, como si dijera"
fr,entrée de son château? quel roi ne les a
es,a comodidad y regalo que pudiera hallar 
es,car el músico que con tan buena vozcanta
es,"ogante, no haciendo caso de niñerías, ni"
en,n the worthy knight shut his window with
fr,"irer un seul coup. Quand à Sancho, ils l"
fr,ux du prochain; aussis'empressa-t-elle d
es,"ensamientos de pagar deudas que debas, n"
fr," soin delui, et les damoiselles de son c"
es,"s en singular batalla, que para solo sug"
es,"allares,   invito vencedor, jamás vencid"
fr,que galeried'un de ses magnifiques palai
fr,omme généreuxcomme le montra l'extrême l
es,"an de cumplir, ni es bien que se cumplan"
es,"e emperador de la China, pues enlengua c"
es,s: mirad cuánto ha que estatercera vez s
es,choPanza mi escudero es aquél que vuestr
es,do primor y toda atildadura; y la razón 
es,hijo si hiciere sátiras que perjudiquen 
fr, detoute espèce d'enchantement; il pourr
fr," don Quichotte lui dit:Seigneur, si Votr"
fr,"on Quichotte, et si je ne me plains pas,"
es,se canta:   Jugando está a las tablas do
es,"obas, se pusiese seis de hierro a cuesta"
es,"crupulosos y melindrosos pensamientos, s"
fr," fille etMaritorne, de l'étrange folie d"
es,"spertarle, si su amo no lo llamara,los r"
fr,"nest coupable, comme je le crains, alors"
fr,t l'écuyer du Bocage; car il faut qu'unc
es,lgo por el diablo; y mientes quemira si 
es,"eguezuelo, aquien suelen llamar de ordin"
fr,"parmi les attributs de Dieu,bien qu'ils "
en,himand asked him where he was going; and
fr, plus merveilleux incidents;dût le jour 
fr,reprendra sa couronne et son sceptre? Eh
en,"secretary read it aloud to him, and heli"
fr,"nde comme une perche, fraîche comme une "
fr,rablemonde! Qui aurait dit que l'homme q
fr,"vousprie de suspendre votre jugement, et"
fr,"t, prends garde à tes paroles, et ne va "
en,"up his life, he tied the beasts to a tre"
en,approached and told the curate they had 
es,", no queráis dar susescritos al olvido; "
es,"tra pieza, vino a dar la bala en mitad d"
fr,", car la loi du bon plaisir ne s'était p"
es,lones y gracias del alma! Pero no me neg
es,da; al rucio sele dará recado a pedir de
fr,C SCRIPSERUNT_        SUR LA VIE ET LA M
fr," sapièce est fort bonne, et il y fait va"
es, no se habían hecho en la común turquesa
es,"teración, porque mi señor no te halle so"
fr,rue; mais notre héros s'excusa en disant
fr, de ses amiset des dames qui avaient fai
es,y si Dios quisiera darme de comera pie e
fr,out cela n'était qu'enchantement. Néanmo
es,"les dan agua a las manos,pero no lejía a"
en,"from it.Having supped, Sancho at once fe"
fr,"rbe fraîche, comme j'y trouverai moi-mêm"
es," el cual, viéndome tan imaginativo, me p"
fr,"s. En cherchant à s'échapper, ils éteign"
es,"esto, señor nuestro amo? Dígalo, por suv"
es, valiente y andante caballero; mas alcan
es,n el vientre de la ballena.-Así es la ve
fr, qu'il me faut pour atteindre plus à l'a
fr,  _Lela Marien_ saura me donner un mari.
es,"ron a él, uno le dijo:-¡Ármese luego vue"
es," rostros destas señoras; que, cierto, se"
es,"su palabra, sacó un rico anillo del dedo"
fr,èle espoir.Je marchai toute la nuit dans
es,"raje, para que de todo entodo mostrase s"
fr,ujourd'hui. Nombre de princes qui règnen
es,"nuestros tenían, y tales, que me parece "
fr, lui baise le pied à plusieursreprises.Q
fr,ds qu'onpeut conter tout cela; que Votre
es,s comenzamos en el estudiante por la pob
es,"ósito de los gallegos.Sucedió, pues, que"
es,ntedella los vencidos que vuestra merced
fr,"de quelqu'un,parlez: je jure, par l'ordr"
es,es de todo punto inexcusables? Yes lo ma
es,"ante muchos años en Salamanca, al cabo d"
es,"ue Camila, y que de su lado jamás se qui"
fr,ue sion lui eût présenté des faisans d'É
fr," avec quelques-uns de nos compagnons, pe"
fr,"i déjà parlé, pourquoi je ne me rachetai"
es,ndo oyeron muchas voces y gran rumor de 
es,que no seles fuese otra vez del pueblo a
es,"l buenSancho es gracioso y donairoso, de"
es," mundo!-Vuestra merced se sosiegue, seño"
fr,ts j'irai droit auciel. Ce n'est point p
es,gobernador muy bien le puede traer y sus
es,llaconazo del maestroElisabat estaba ama
fr,"c ici une hôtellerie?Oui sans doute, et "
en,", and in the rear trailed the curateand "
es,"orotados, y no imaginaba Sancho qué habí"
fr,"ure, prends garde de ne pas te mettre en"
es,"enaigualmente; y, siendo esto así, como "
fr,déjà plus qu'à demi éteint de lachevaler
es,"pósito lo útil conlo dulce, han dado con"
fr,"er qui il est.Frappé de ces paroles, l'a"
es,"entrambos lados, y, quitándose el velo d"
es,"as muestras de su contento.Mas, en efeto"
fr,moins de charme que l'histoireelle-même.
es,"e dijo:-Bien veo, hermosa y engañada señ"
fr,"it usage devant laforteresse d'Albraque,"
es,lo: bien así como los que están en eltor
es,"s hacerte; y, por agora, curémonos, que "
en,x reals on apetticoat which she had boug
es," decaballero andante, y lo que era enton"
fr,dres de son mari. Livrée à cetteincertit
es,"er lo que por su mayor le era mandado,y "
es,"o.Sancho, que había estado muy atento a "
fr,"sen temps, Sancho tournait la tête pour "
fr,"c empressement: _Si, si, Maria! Zoraïda "
fr,it un genre de faiblessequi s'accorde ma
es, estaba para proseguir su historia; ni t
fr,omac; et cesefforts prolongés lui ayant 
fr," la señora Belerme. Cette dame, comme vo"
es,menos de un abrir y cerrar de ojos le ll
es,en éste más desplace esque pinta a don Q
fr,"oie, répondit donQuichotte; désormais pr"
es,satada destos libros da lugar a que el a
es,"todo el mundo, mirando un mapa, sin cost"
es," con don Quijote; el cual, viéndosetrata"
fr,"t l'alcade de ce village, vousfassiez un"
en,power as to have changed my master's rig
fr,"e 473).]Enfin on leur banda les yeux, ap"
en,irAltisidora had been so persistent in h
fr,"me qui l'accompagne est Sancho Panza, so"
fr,tte loi du duel qui veutque la longueur 
es,"a, y el otro por no haberla visto, estab"
es,"esar la verdad, tengo escritas más de ci"
fr," voir ce que dirait don Quichotte, leque"
es," confirmada en suverdad y firmeza, delan"
es, un ronco y espantoso sondespedía.-¡Hola
en,"s great danger in meddling with actors, "
fr,"e c'était une hôtellerie,mais le maître "
fr," la plume paresseuse,monta sur son fidèl"
fr,une histoire imprimée sous le nom de l'i
fr, Ne pense pas qu'il y ait là rien de bie
fr,eille histoire!  (Réminiscence de l'_Éné
fr,oir trouvé le moyen de tout concilier: s
fr,"ortelle, seigneur, je t'écris ce  billet"
es,terminaciones.Entonces la hermosa Quiter
fr,quand tout àcoup leurs oreilles furent f
es,"ndo en esto, llegó maese Pedro a buscar "
fr,"cavaliers; je ne sais rien de plus, et j"
fr,ois que son observation tesera très-prof
fr,"son cheval afin d'enjamberla muraille, e"
fr,"venu enfin de son évanouissement, l'appe"
fr,es fois que tu diras ou penseras pareill
fr,"erser les vieillesmurailles, qui semblai"
es,"o!; que, si por su reverencia no fuera, "
fr,"lui.Dulcinée est de bonne naissance, d'u"
fr,"ui le châteauSaint-Ange, a servi de sépu"
es,"cabase.Él, que a todos quiso dar gusto, "
es,", si por ventura ha sido su autor algún "
es,"Esta verdad acreditó don Lorenzo, pues c"
es, y yo sobre todos desdichado en no haber
fr,senti l'affront qu'on venait de faire en
fr,nso  Caballo Rocinante y tras su dueño. 
es,", es mucho menor el premio.Pero a esto s"
fr,e et de Salamanque.Qu'Apollon perce de s
es,to a todo mi poderío.-Peor será esto que
es,le haré entender con armas iguales queva
en,eatFrenchman Montesinos on a triumphal c
es,"s dinero -dijo Teresa-, que yo os lo vis"
fr,"in sans meule, et qu'une dent est plus p"
fr,aventurierspassèrent la nuit et le jour 
en, Here andthere on the grass were scatter
fr,és aitau moins la langue un peu libre. P
fr,n esttiré sans qu'il lui en coûtât un ch
fr,"eur barbier, luidit-il, sachez que nous "
fr,"oses, il périt du moinspour les avoir en"
es,rá como cuandodespierte se halla algo má
fr, leur propre pays; mais nous nous trompi
fr,"ez rien, tout le monde seracontent.Dieu "
en,reinhe told him it was his great desire 
es,amiento que a tu contrahecha hermosura h
es,e de aquella ligera ingrata quetanto te 
es,"ncho-, pero, ¿dónde pondremos a esteasno"
es,"-Sí -dijo don Quijote-, porque si vuelve"
fr,lademander sans la prendre de force. Il 
es,"toda el armada turquesca, porque todos l"
es,o parezcan lo que son; y si es que tanto
es,"ral aplauso de las gentes,della se colig"
es,"eron que quéle había sucedido, que tan m"
fr," encore, je ne connais plus de joie ici-"
fr,"ut ce tapage étaient Sancho,lequel voula"
es,que muramos de hambre y cubramos con un 
fr,"eurs,n'a l'estomac deux fois plus grand "
es,spuesta y que no puede recebir visita; p
es,"allero, perono pude; aunque tengo para m"
fr,"ls, qu'une bouche sans dentsest comme un"
fr,"vauriens et des brigands, attendons lele"
fr,"s cequi surtout les surprit, ce fut d'ap"
fr,"rrière avec le licou de son âne, de faço"
fr,s de ces coups defouet (page 598).]Il n'
fr,oux a fait oublier les règles de labiens
